분류1,코스타이틀,코스번호,코스 주제,코스 주제 설명,지역,관광지,코스설명2,주소,전화번호,홈페이지
전역코스,대구 Best of Best,1,대구에 왔다면 꼭 가봐야 할 곳만 모아,"대구에 대표 관광자원 30선 관광자원을 선별한 대표 코스로 이월드 / 83 타워, 근대골목, 동성로, 팔공산 하늘정원 / 케이블카, 동화사로 구성되어 있다. 사전 또는 필수 예약 등의 절차 없이 항상 개방되는 관광지 중심이며 대중교통을 이용해 쉽게 이동이 가능하다.",달서구,83타워,도심 속에 우뚝 솟은 대구의 랜드마크두류공원(頭流公園) 내에 위치한 유럽형 테마공원에 조성된 83타워(높이 202m)는 대구 전경을 한눈에 내려다 불 수 있는 관광명소로 다보탑 형태의 팔각형 탑신을 자랑하며 한국의 전통 건축미를 재현하고 있다. ,대구광역시 달서구 두류공원로 200,053-620-0001,http://83tower.kr
전역코스,대구 Best of Best,2,대구에 왔다면 꼭 가봐야 할 곳만 모아,"대구에 대표 관광자원 30선 관광자원을 선별한 대표 코스로 이월드 / 84 타워, 근대골목, 동성로, 팔공산 하늘정원 / 케이블카, 동화사로 구성되어 있다. 사전 또는 필수 예약 등의 절차 없이 항상 개방되는 관광지 중심이며 대중교통을 이용해 쉽게 이동이 가능하다.",중구,근대 골목,"대구 근대문화의 발자취를 따라 떠나는 신나는 골목 투어 ‘대구 중구 근대로의 여행’ 골목투어 중 2코스에 해당. 총 1.64km, 약 2시간 소요 청라언덕에서 시작해 선교사 주택과 3.1만세운동길, 계산성당, 이상화와 서상돈고택 한의약박물관, 진골목 등을 두루 살피는 도심 걷기 여행 코스 매주 토요일 10:00, 14:00 두 차례씩 무료 정기 해설 제공",대구광역시 중구 일대,053-661-2624,
전역코스,대구 Best of Best,3,대구에 왔다면 꼭 가봐야 할 곳만 모아,"대구에 대표 관광자원 30선 관광자원을 선별한 대표 코스로 이월드 / 85 타워, 근대골목, 동성로, 팔공산 하늘정원 / 케이블카, 동화사로 구성되어 있다. 사전 또는 필수 예약 등의 절차 없이 항상 개방되는 관광지 중심이며 대중교통을 이용해 쉽게 이동이 가능하다.",중구,동성로 축제,"지난 1990년 5월 첫 막을 올린 동성로축제는 21년의 세월을 지내오면서 순수 민간이 주도하는 축제의 성공적인 모델로 대구를 대표하는 축제로 자리잡아 2008년과 2009년 연속 “대한민국대표축제대상”을 수상한 바 있으며, 그동안 동성로는 공공디자인사업(과거 한전배전관), 동성로 상설 야외무대 설치, 동성로 이면도로 정비 등 도심환경정비로 획기적으로 변모하여 문화창달과 상권 활성화에 기여하였다. 전통행사로 비산농악날뫼북춤, 경상감사행차(퍼레이드, 민속공연, 군의장대, 군악대, 교인식), 서예퍼포먼스, 가훈써주기 행사와 젋은이들이 선호하는 웨딩모델선발대회, 연예인초청음악회, 개막경축쇼, 뮤지컬갈라쇼, KOG행사, 신인가수 등용문인 동성로가요제 등 다양한 프로그램에 많은 관람객이 모여들어 축제를 통한 문화예술 향유의 기회를 제공하였다.",대구광역시 중구 동성로2길 27,053-423-3337,http://dsr.or.kr/
전역코스,대구 Best of Best,4,대구에 왔다면 꼭 가봐야 할 곳만 모아,"대구에 대표 관광자원 30선 관광자원을 선별한 대표 코스로 이월드 / 86 타워, 근대골목, 동성로, 팔공산 하늘정원 / 케이블카, 동화사로 구성되어 있다. 사전 또는 필수 예약 등의 절차 없이 항상 개방되는 관광지 중심이며 대중교통을 이용해 쉽게 이동이 가능하다.",중구,약령시,"대구약령시는 조선 효종 9년(1658년) 경상감사가 직무하는 감영(監營)의 소재지로 집결하는 약재 중에 좋은 것은 중앙기관으로 상납하고 그 나머지를 일반인들에게 판매하면서 시작되었다. 일제의 탄압에도 불구하고 끈질긴 생명력을 유지하여 350년의 전통을 꿋꿋이 이어나오고 있는 곳이다. 현재 대구약령시의 자취가 남아있는 곳은 대구광역시 중구 남성동 일대이다. 이 곳은 옛 대구성(大邱城) 이 있었던 남성로(南城路)의 약전(藥廛)골목이며, 남성로를 따라 약 650m 도로에 한약방과 한의원, 인삼사, 약업사, 제탕원, 제환·제분소, 한약찻집, 한방 음식점, 한방·전통상품점 등 350여 업소가 즐비하게 들어서 약령시를 형성하고 있다. 매년 5월초에는 대구약령시축제를 개최하여 약령시의 문화적 가치를 전국적으로 홍보함으로써 약령시와 한의약에 대한 국민적 관심과 사랑을 유도하고 있다.",대구광역시 중구 달구벌대로 415길 49,053-253-4729 (대구약령시한의약박물관),
전역코스,대구 Best of Best,5,대구에 왔다면 꼭 가봐야 할 곳만 모아,"대구에 대표 관광자원 30선 관광자원을 선별한 대표 코스로 이월드 / 87 타워, 근대골목, 동성로, 팔공산 하늘정원 / 케이블카, 동화사로 구성되어 있다. 사전 또는 필수 예약 등의 절차 없이 항상 개방되는 관광지 중심이며 대중교통을 이용해 쉽게 이동이 가능하다.",동구,동화사,"수려한 자연과 소중한 문화재를 품은 사찰  팔공산 남쪽 기슭에 자리한 신라시대 사찰  대웅전, 마애불좌상, 비로암 석조비로자나불좌상, 비로암 삼층석탑, 금당암 동서 삼층석탑, 당간지주 등 경내에 문화유산이 많다  전체 높이 33m에 이르는 세계 최대 규모 석조불상인 약사여래대불이 있다 입장료 - 어른 2,500원, 청소년 1,500원, 어린이 1,000원",대구광역시 동구 동화사1길 1,053-980-7900,http://www.donghwasa.net
전역코스,대구 Best of Best,6,대구에 왔다면 꼭 가봐야 할 곳만 모아,"대구에 대표 관광자원 30선 관광자원을 선별한 대표 코스로 이월드 / 88 타워, 근대골목, 동성로, 팔공산 하늘정원 / 케이블카, 동화사로 구성되어 있다. 사전 또는 필수 예약 등의 절차 없이 항상 개방되는 관광지 중심이며 대중교통을 이용해 쉽게 이동이 가능하다.",동구,팔공산 케이블카,"팔공산과 대구 시내 전경이 한눈에  6인승 케이블카를 타고 해발 820m까지 펀안하게 올라간다  케이블카 정상역에 도착하면 팔공산과 대구 시내 전경을 한눈에 바라볼 수 있다  케이블카 정상역 주변에는 산책로, 등산코스, 전망대, 소원의 언덕, 사랑의 터널 등 다양한 즐길거리가 있다",대구광역시 동구 팔공산로185길 51,053-982-8801~3,http://www.palgongcablecar.com
전역코스,대구 Best of Best,7,대구에 왔다면 꼭 가봐야 할 곳만 모아,"대구에 대표 관광자원 30선 관광자원을 선별한 대표 코스로 이월드 / 89 타워, 근대골목, 동성로, 팔공산 하늘정원 / 케이블카, 동화사로 구성되어 있다. 사전 또는 필수 예약 등의 절차 없이 항상 개방되는 관광지 중심이며 대중교통을 이용해 쉽게 이동이 가능하다.",중구,이상화 고택,일제에 항거한 대구 출신의 독립운동가를 만난다  이상화 시인은 일제강점기에 민족의 광복을 위해 저항 정신의 횃불을 밝힌 시를 지었다. 그의 시향이 이상화고택에 남아 있다  서상돈은 정부가 일본에 빚을 많이 져 국권을 상실한다고 생각하여 1907년 금연으로 나라의 빚을 갚자는 국채보상운동을 벌였다,대구광역시 중구 서성로 6-1,053-256-3762,http://www.sanghwa.or.kr
1코스,대구 속 시간여행,1,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,계산성당,이국적인 성당을 거닐며 100년의 역사를 돌아보는 여행  경상도에서 가장 오래된 성당으로 가톨릭뿐 아니라 대구의 역사도 볼 수 있다.  고딕양식의 외관과 스테인드글라스를 통해 들어오는 빛의 알록달록함에 매료되는 아름다운 공간이 인상적이다,대구광역시 중구 서성로 10,053-254-2300,http://www.kyesan.org
1코스,대구 속 시간여행,2,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,성모당,"1990년 12월 15일 대구광역시 유형문화재 제29호로 지정되었다. 재단법인 대구천주교회 유지재단의 소유로 되어 있다. 프랑스 루르드 동굴을 본떠서 만들었다고 하며, 전국적으로 유명한 천주교 성지이다.적·흑벽돌과 화강암으로 쌓아올린 아름답고 정교한 건물로 유명하다. 1917년 7월 착공하여 1918년 8월 15일 완공하였다. 대구 천주교회 초대교구장이었던 드망주 신부가 건축하였다. 설계와 모형은 루르드 성모굴을 본떴고 가능한 한 루르드 성모굴의 크기와 바위의 세부적인 면까지 비슷하게 하였다고 한다. 건축공사는 중국인 기술자들이 담당하였다. 성모당은 교구청에서 가장 높은 곳에 자리잡고 있으며, 앞쪽에 넓은 마당이 있고 북향으로 세운 붉은 벽돌구조건축이다. 평면은 우측면의 뒤쪽이 안쪽으로 약간 꺾여 들어간 직사각형으로, 내부는 암굴처럼 꾸미고 그 위에 마리아 상을 봉안하였다. 외관은 화강암 기초 위에 흑색 벽돌로 각 모서리의 버팀벽과 수평띠를 구성하고 나머지 벽면에는 붉은 벽돌로 쌓았는데, 각 부의 비례구성이 아름답고 벽돌짜임이 정교해서 지금까지 당시의 모습을 잘 간직하고 있다. 건물의 장식은 정면에 집중되어 있다. 정면은 흑색 벽돌을 사용하여 양단면에 각각 한쌍의 버트레스를 세웠다. 그 사이에는 큰 반원 아치를 설치하여 좌우 대칭을 이루게 하였다. 그 위에는 좁은 간격으로 3줄의 수평띠를 두어 작은 반원 아치로 장식하였으며, 나머지 벽면은 붉은 벽돌로 쌓았다. 성모당의 동굴 윗면에는 ‘1911 EXVOTO IMMACULATAE CONCEPTIONI 1918’이라고 씌어 있다. 1911은 대구교구가 처음 생긴 해를 가리키고, 1918은 드망주 신부가 교구를 위하여 하느님에게 청한 3가지 소원이 모두 이루어진 해를 가리킨다. 그리고 ‘EXVOTO IMMACULATAE’는 ‘원죄없이 잉태되신 성모님께 바친 허원에서’라는 뜻이다.",대구광역시 중구 남산로 4길 112,053-250-3000,http://www.dgca.or.kr/
1코스,대구 속 시간여행,3,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,영도다움,"우아하고 아름다운 직물인 벨벳의 모든 것  벨벳으로 만든 의류, 홈데코, 가구, 벽지 등 벨벳의 무한 가능성을 만나는 벨벳 갤러리.  영도다움은 1층의 벨벳 의류와 벨벳 소품, 2층의 벨벳 가구와 홈데코 제품, 드라마 촬영 의상 체험장 등 벨벳 갤러리를 통해 문화, 예술적인 아름다움을 공감하는 곳이다.",대구광역시 중구 공평로 4길 39,053-710-3700,http://www.youngdoliving.com
1코스,대구 속 시간여행,4,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,약령시,"대구약령시는 조선 효종 9년(1658년) 경상감사가 직무하는 감영(監營)의 소재지로 집결하는 약재 중에 좋은 것은 중앙기관으로 상납하고 그 나머지를 일반인들에게 판매하면서 시작되었다. 일제의 탄압에도 불구하고 끈질긴 생명력을 유지하여 350년의 전통을 꿋꿋이 이어나오고 있는 곳이다. 현재 대구약령시의 자취가 남아있는 곳은 대구광역시 중구 남성동 일대이다. 이 곳은 옛 대구성(大邱城) 이 있었던 남성로(南城路)의 약전(藥廛)골목이며, 남성로를 따라 약 650m 도로에 한약방과 한의원, 인삼사, 약업사, 제탕원, 제환·제분소, 한약찻집, 한방 음식점, 한방·전통상품점 등 350여 업소가 즐비하게 들어서 약령시를 형성하고 있다. 매년 5월초에는 대구약령시축제를 개최하여 약령시의 문화적 가치를 전국적으로 홍보함으로써 약령시와 한의약에 대한 국민적 관심과 사랑을 유도하고 있다.",대구광역시 중구 달구벌대로 415길 49,053-253-4729 (대구약령시한의약박물관),
1코스,대구 속 시간여행,5,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,삼성상회,1938년 호암 이병철 회장이 삼성그룹의 모태인 삼성상회를 창업해 처음 사업을 시작했던 곳이다. 대구오페라하우스 앞에는 호암 동상이 자리해 있다.,대구광역시 중구 달성로 100(인교동 43-1),053-661-2195,
1코스,대구 속 시간여행,6,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,김광석다시그리기길,"김광석의 음악 인생이 녹아있는 골목에서 벽화 감상하기  방천시장 뒷골목, 350m 이어진 골목 담벼락에 김광석의 삶과 노래를 주제로 한 벽화가 실감나게 펼쳐진다  드라마 ""하이드 지킬, 나""에 등장했던 장면을 따라 벽화 앞에서 기념사진 남기기, 추억의 뽑기 체험 등을 할 수 있다. 골목 가득 울려 퍼지는 김광석의 음악이 운치를 더한다",대구광역시 중구 달구벌대로 2238,053-218-1053,
1코스,대구 속 시간여행,7,대구 속 시간 여행,"컬러풀한 도심 한가운데 옛이야기가 주절댄다. 정겨운 골목에는 김광석의 노래가 흐르고, 카페에서 수다를 떨다보면 이월드의 찬란한 불이 밤늦도록 이어진다. 오래된 시장에 사투리처럼 구수한정이 배부르도록 넘쳐 나낟.도시는 손때 묻은 앨범을 넘기다만나는 흑백사진처럼 소중하고 반가운 이야기들을 직한 채 따듯하게 나그네를 반긴다.",중구,서문시장,"대구 최대의 상설시장, 야시장도 인기  조선시대 평양장, 강경장과 함께 전국 3대 장터의 하나로 이름 떨친 전통시장  건해산물상가, 아진상가 등 8개 지구로 구성되고, 약 5,522여 개의 점포가 들어서 있다  주 거래품목인 주단, 포목 등을 비롯해 그릇, 청과, 건어물, 해산물 등 다양한 상품이 거래되는 큰 시장이다",대구광역시 중구 큰장로26길 45,053-256-6341,http://seomun.eneeds.gethompy.com/
2코스,이렇게 좋을 수가,1,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",남구,앞산전망대,대구 시내를 조망할 수 있는 으뜸 명소  앞산케이블카를 타고 오르내리는 쉽고 편안한 여정  S자로 굽어지며 흐르는 낙동강을 시작으로 오른쪽으로 도시를 감싸는 산자락이 겹겹이 펼쳐진다. 노을이 붉게 물든 하늘 아래 하나 둘 불을 밝히는 도심의 불빛이 잔물결 일렁이는 바다처럼 아름답게 펼쳐진다,대구광역시 남구 앞산순환로 454,053-803-5450,
2코스,이렇게 좋을 수가,2,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",수성구,대구스타디움,"2002년 한일월드컵 대회, 2003대구하계유니버시아드대회를 성공적으로 개최하였으며 2011년 세계육상선수권대회를 유치하였다. 또한 주변의 수려한 자연환경과 깨끗한 시설로 주변시민들 뿐만 아니라 타지에서도 많은 관광객이 찾아오는 대구의 새로운 명소로 떠오르고 있다. 체육시설을 개방하여 체력단련 및 휴식공간으로 활용할수 있도록 하고 있으며, 체육 및 문화예술 행사를 유치하여 시민들에게 한층 더 가까이 다가 가도록 노력하고 있다.",대구광역시 수성구 유니버시아드로 180,053-602-2011~8,
2코스,이렇게 좋을 수가,3,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",달성군,녹동서원,"조선으로 귀화한 일본 장수 김충선을 기리는 서원  임진왜란 때 귀화한 모하당 김충선을 추모하기 위해 1789년에 건립  경내에는 녹동사, 향양문, 유적비, 서원 뒤쪽 삼정산에는 김충선의 묘소가 있다  달성한일우호관, 김충선의 귀화 후 활약상을 보여주는 역사관, 체험실 등이 있다",대구광역시 달성군 가창면 우록길 218,053-767-5790,http://www.dskjfriend.kr
2코스,이렇게 좋을 수가,4,이렇게 좋을 수가,"대구에서 대구 사람처럼 여행 할 수 있을까? 있다. 대구 수성과 가창의 명소를 두러보는 ‘이렇게 좋을 수가’ 코스가 바로 그것,대구 시민들의 자랑 대구스타디움과 앞상공원, 수성못, 스파밸리와 대구숲, 녹동서원등 명소들만 골라 휴식과 체험, 교육과 놀를겸하여 다니는 코스다. 게다가 전국 최대의 맛집 거리에서먹는 즐거움 까지 누릴 수 있으니 ‘이렇게 그럼 대구 수성 가창으로 떠나 볼까",수성구,대구미술관,"대구미술관(2011.5.26 개관)은 대지면적 71,202㎡ 건축면적 8,808.27㎡, 연면적 21,701.44㎡ 규모로 지하1층, 지상3층의 공간에 1~5전시실, 어미홀, 강당, 교육시설, 정보센터, 관람객을 위한 편의시설로 구성되어 있다. 대구미술관의 상징적 측면을 고려해 만들어진 어미홀(가로 15m, 세로 55m, 높이 20m)은 연1회 아티스트의 창의적인 영감을 실현하는 인큐베이팅 공간으로 활용한다. 특히 3전시장은 실내와 자연풍경과 접점을 이루는 전시장으로 고정된 곳이 아닌 율동하고, 교감하는 장소로 활용하고 있다. 대구미술관은 국내외의 근·현대미술을 소개하는 전시는 물론, 미술 강좌 등 다양한 교육프로그램 운영과 시민의 문화예술욕구에 부응하는 문화공간으로서의 역할을 담당하고 있다.",대구광역시 수성구 미술관로 40,053-790-3000,https://artmuseum.daegu.go.kr/
